Date,Temperature
1895,26.7
1896,27.0
1897,27.8
1898,32.5
1899,28.4
1900,29.2
1901,29.6
1902,27.4
1903,27.6
1904,22.3
1905,26.3
1906,35.4
1907,31.9
1908,30.0
1909,31.9
1910,29.0
1911,33.7
1912,22.1
1913,39.2
1914,29.9
1915,32.8
1916,34.3
1917,31.2
1918,20.1
1919,34.0
1920,22.4
1921,32.4
1922,27.2
1923,28.7
1924,31.5
1925,27.2
1926,30.8
1927,29.7
1928,32.8
1929,30.5
1930,31.8
1931,31.3
1932,41.7
1933,38.8
1934,33.4
1935,27.5
1936,28.0
1937,38.9
1938,30.8
1939,30.9
1940,23.7
1941,28.1
1942,29.4
1943,29.4
1944,32.6
1945,23.9
1946,33.1
1947,36.1
1948,24.2
1949,37.3
1950,40.4
1951,35.2
1952,34.9
1953,36.4
1954,29.8
1955,30.1
1956,31.2
1957,27.7
1958,31.0
1959,30.4
1960,33.1
1961,26.6
1962,31.4
1963,29.0
1964,34.5
1965,28.5
1966,30.9
1967,36.0
1968,25.4
1969,30.5
1970,23.8
1971,25.7
1972,33.8
1973,34.2
1974,34.3
1975,36.4
1976,26.4
1977,21.3
1978,27.2
1979,31.1
1980,32.0
1981,24.7
1982,24.6
1983,33.0
1984,28.4
1985,27.3
1986,32.8
1987,31.7
1988,28.8
1989,36.7
1990,40.7
1991,34.2
1992,35.1
1993,35.7
1994,24.9
1995,37.5
1996,30.7
1997,32.3
1998,40.1
1999,34.1
2000,31.4
2001,33.8
2002,40.1
2003,27.6
2004,24.9
2005,31.5
2006,41.0
2007,37.6
2008,36.6
2009,28.1
2010,32.7
2011,29.8
2012,37.5
2013,35.2
2014,28.3
2015,29.6
2016,34.1
2017,38.1
2018,31.8
2019,32.6
2020,39.2
